created_at,sicaklik,salt,sensor_id
2026-03-07 20:25:34.827914+00:00,24.5,35.2,esp32_001
2026-03-07 20:26:04.800093+00:00,23.8,36.7,esp32_001
2026-03-07 20:44:47.331801+00:00,23.8,36.7,esp-t1
2026-03-07 20:58:15.363493+00:00,23.8,36.7,esp-t1
2026-03-08 09:35:32.814517+00:00,22.8,999.99,esp-t1
2026-03-08 09:35:33.000941+00:00,22.8,999.99,esp-t1
2026-03-08 09:35:48.610701+00:00,31.2,999.99,esp-t1
2026-03-08 09:35:48.783003+00:00,31.2,999.99,esp-t1
2026-03-08 09:38:18.107542+00:00,29.9,999.99,esp-t1
2026-03-08 09:38:18.320911+00:00,29.9,999.99,esp-t1
2026-03-08 09:40:31.746423+00:00,20.3,999.99,esp-t1
2026-03-08 09:46:48.927300+00:00,23.8,999.99,esp-t1
2026-03-08 09:46:49.217115+00:00,23.8,999.99,esp-t1
2026-03-08 09:47:13.519840+00:00,25.5,999.99,esp-t1
2026-03-08 09:47:13.679927+00:00,25.5,999.99,esp-t1
2026-03-08 09:47:33.206243+00:00,28.2,999.99,esp-t1
2026-03-08 09:47:33.359918+00:00,28.2,999.99,esp-t1
2026-03-08 09:47:34.776690+00:00,28.2,999.99,esp-t1
2026-03-08 09:47:34.906890+00:00,28.2,999.99,esp-t1
2026-03-08 09:51:21.644258+00:00,26.2,2703.55,esp-t1
2026-03-08 09:54:20.908856+00:00,25.4,2865.53,esp-t1
2026-03-08 09:54:21.016753+00:00,25.4,2865.53,esp-t1
2026-03-08 09:54:29.277472+00:00,29.7,2249.51,esp-t1
2026-03-08 09:54:29.471142+00:00,29.7,2249.51,esp-t1
2026-03-08 09:57:44.525623+00:00,31.0,2178.21,esp-t1
2026-03-08 09:57:44.703343+00:00,31.0,2178.21,esp-t1
2026-03-08 09:57:51.083402+00:00,20.3,3075.43,esp-t1
2026-03-08 09:57:51.321481+00:00,20.3,3075.43,esp-t1
2026-03-08 09:59:57.809214+00:00,21.5,3054.96,esp-t1
2026-03-08 09:59:57.996084+00:00,21.5,3054.96,esp-t1
2026-03-08 10:01:57.959451+00:00,30.8,2174.34,esp-t1
2026-03-08 10:02:09.522268+00:00,28.9,1736.29,esp-t1
2026-03-08 10:03:07.640444+00:00,25.3,2642.74,esp-t1
2026-03-08 10:32:43.276557+00:00,23.9,1734.74,esp-t1
2026-03-08 10:32:43.489565+00:00,29.3,2004.26,esp-t1
2026-03-08 10:32:43.605967+00:00,25.7,2389.44,esp-t1
2026-03-08 10:32:43.721969+00:00,18.7,2842.0,esp-t1
2026-03-08 10:32:43.882732+00:00,21.3,1890.29,esp-t1
2026-03-08 10:32:43.998015+00:00,25.1,1764.91,esp-t1
2026-03-08 10:32:44.105194+00:00,25.2,1858.35,esp-t1
2026-03-08 10:32:44.214437+00:00,31.5,1816.6,esp-t1
2026-03-08 10:32:44.326197+00:00,21.9,2706.17,esp-t1
2026-03-08 10:32:44.433873+00:00,22.1,1603.07,esp-t1
2026-03-08 10:32:44.544559+00:00,19.0,2082.65,esp-t1
2026-03-08 10:32:44.655562+00:00,23.5,1892.33,esp-t1
2026-03-08 10:32:44.764150+00:00,30.6,2245.56,esp-t1
2026-03-08 10:32:44.870784+00:00,20.2,2633.39,esp-t1
2026-03-08 10:32:44.980305+00:00,19.0,2921.69,esp-t1
